0,1,2,3,4,class
-87,-79,-77,-83,-84,1
-88,-83,-76,-83,-87,1
-87,-83,-86,-83,-87,1
-88,-81,-77,-83,-84,1
-86,-82,-77,-83,-86,1
-87,-88,-76,-84,-86,1
-88,-80,-76,-83,-85,1
-86,-78,-81,-83,-86,1
-88,-78,-77,-83,-84,1
-87,-78,-77,-83,-83,1
-86,-79,-81,-83,-85,1
-87,-80,-77,-84,-84,1
-87,-83,-77,-84,-84,1
-88,-82,-76,-83,-83,1
-85,-80,-76,-84,-86,1
-86,-82,-83,-83,-85,1
-87,-82,-84,-84,-86,1
-86,-77,-77,-84,-85,1
-85,-82,-79,-84,-85,1
-88,-82,-77,-83,-85,1
-91,-80,-79,-84,-85,1
-85,-77,-77,-83,-85,1
-86,-79,-77,-84,-85,1
-85,-84,-76,-83,-84,1
-86,-78,-79,-83,-84,1
-88,-87,-83,-83,-86,1
-89,-79,-76,-84,-86,1
-89,-77,-77,-84,-85,1
-87,-84,-83,-84,-84,1
-84,-79,-77,-82,-86,1
-87,-78,-77,-81,-84,1
-87,-79,-85,-83,-85,1
-86,-77,-77,-83,-84,1
-87,-78,-80,-84,-84,1
-85,-83,-77,-83,-84,1
-87,-83,-76,-84,-84,1
-88,-84,-77,-85,-84,1
-92,-81,-76,-84,-85,1
-87,-84,-76,-84,-86,1
-86,-78,-76,-83,-83,1
-87,-82,-84,-84,-84,1
-84,-78,-79,-85,-85,1
-86,-82,-76,-85,-83,1
-87,-79,-76,-85,-84,1
-90,-78,-77,-85,-85,1
-87,-82,-84,-84,-85,1
-86,-83,-77,-83,-83,1
-82,-80,-84,-82,-83,1
-89,-82,-76,-84,-85,1
-88,-83,-77,-84,-84,1
-88,-83,-77,-84,-83,1
-86,-79,-77,-84,-84,1
-91,-79,-76,-85,-85,1
-90,-76,-84,-88,-84,1
-86,-83,-83,-83,-84,1
-86,-81,-78,-84,-85,1
-89,-84,-82,-84,-83,1
-91,-79,-83,-82,-85,1
-88,-88,-78,-84,-86,1
-89,-79,-79,-83,-87,1
-86,-78,-84,-83,-84,1
-86,-78,-76,-85,-86,1
-87,-80,-77,-85,-85,1
-89,-78,-83,-86,-84,1
-88,-79,-84,-87,-84,1
-90,-83,-81,-84,-83,1
-89,-85,-82,-84,-85,1
-87,-79,-84,-83,-86,1
-89,-81,-83,-82,-84,1
-88,-78,-79,-81,-84,1
-89,-79,-83,-84,-84,1
-92,-80,-85,-83,-84,1
-90,-78,-85,-83,-84,1
-88,-83,-82,-83,-85,1
-89,-83,-83,-85,-84,1
-92,-83,-84,-83,-83,1
-90,-83,-85,-84,-87,1
-84,-83,-83,-83,-86,1
-88,-77,-85,-85,-88,1
-86,-81,-84,-84,-87,1
-85,-80,-84,-82,-85,1
-87,-79,-84,-84,-87,1
-79,-81,-80,-85,-90,2
-83,-84,-82,-85,-88,2
-82,-81,-82,-86,-87,2
-84,-87,-78,-82,-88,2
-80,-84,-78,-84,-88,2
-80,-83,-82,-84,-87,2
-83,-81,-83,-84,-88,2
-84,-82,-86,-83,-86,2
-82,-81,-80,-85,-88,2
-87,-82,-83,-85,-87,2
-81,-82,-84,-85,-89,2
-88,-84,-84,-85,-88,2
-82,-85,-82,-82,-88,2
-87,-82,-81,-83,-89,2
-85,-84,-83,-90,-89,2
-88,-81,-80,-82,-88,2
-83,-81,-77,-84,-89,2
-84,-82,-84,-86,-89,2
-84,-83,-81,-83,-89,2
-85,-84,-80,-85,-89,2
-84,-82,-82,-80,-90,2
-83,-85,-79,-81,-89,2
-85,-82,-79,-84,-88,2
-84,-84,-76,-79,-89,2
-84,-83,-76,-82,-89,2
-85,-84,-79,-81,-89,2
-83,-84,-80,-82,-89,2
-83,-83,-80,-83,-88,2
-84,-83,-78,-81,-89,2
-85,-86,-78,-81,-90,2
-83,-84,-79,-81,-90,2
-85,-85,-79,-79,-90,2
-82,-83,-75,-82,-90,2
-84,-82,-80,-80,-90,2
-84,-83,-79,-83,-90,2
-85,-84,-76,-80,-89,2
-84,-83,-76,-81,-90,2
-85,-83,-80,-84,-89,2
-84,-84,-80,-84,-89,2
-84,-84,-79,-83,-89,2
-85,-84,-78,-83,-88,2
-84,-83,-79,-81,-89,2
-83,-83,-81,-82,-89,2
-83,-84,-79,-83,-88,2
-84,-86,-77,-82,-89,2
-83,-84,-79,-84,-89,2
-84,-84,-79,-82,-89,2
-84,-84,-79,-82,-89,2
-86,-84,-77,-91,-89,2
-84,-84,-75,-80,-89,2
-84,-84,-77,-84,-89,2
-83,-83,-77,-82,-89,2
-84,-84,-82,-84,-88,2
-84,-83,-79,-81,-89,2
-84,-85,-80,-81,-89,2
-85,-83,-79,-83,-88,2
-85,-86,-78,-79,-90,2
-84,-83,-79,-82,-89,2
-84,-81,-82,-84,-89,2
-85,-83,-79,-82,-90,2
-85,-83,-82,-91,-89,2
-84,-84,-78,-81,-89,2
-86,-86,-82,-81,-89,2
-84,-83,-80,-81,-89,2
-84,-84,-78,-83,-89,2
-84,-83,-78,-82,-89,2
-83,-83,-77,-81,-89,2
-84,-83,-77,-81,-89,2
-83,-83,-79,-82,-89,2
-84,-83,-81,-83,-90,2
-84,-83,-82,-90,-89,2
-87,-83,-81,-88,-89,2
-85,-81,-80,-86,-89,2
-87,-83,-80,-86,-90,2
-86,-82,-80,-86,-89,2
-84,-81,-80,-81,-89,2
-83,-81,-79,-85,-88,2
-85,-81,-79,-84,-89,2
-88,-81,-82,-84,-88,2
-86,-85,-82,-83,-89,2
-88,-81,-79,-87,-87,2
-90,-83,-81,-84,-89,2
-87,-86,-83,-83,-92,2
-84,-82,-79,-84,-90,2
-85,-80,-79,-81,-88,2
-81,-82,-82,-86,-90,2
-86,-83,-84,-85,-86,2
-79,-84,-81,-83,-89,2
-80,-84,-80,-85,-89,2
-85,-91,-83,-84,-87,2
-85,-89,-84,-88,-90,3
-87,-87,-85,-85,-92,3
-83,-89,-86,-90,-92,3
-86,-89,-84,-88,-88,3
-86,-89,-83,-86,-91,3
-85,-89,-84,-86,-90,3
-86,-87,-84,-87,-91,3
-87,-86,-84,-86,-89,3
-86,-80,-79,-86,-83,4
-81,-76,-83,-88,-90,4
-81,-79,-84,-88,-81,4
-85,-78,-81,-84,-84,4
-85,-79,-79,-84,-84,4
-85,-78,-79,-86,-91,4
-83,-75,-79,-84,-88,4
-87,-80,-74,-86,-84,4
-83,-76,-73,-86,-84,4
-86,-77,-73,-87,-86,4
-86,-81,-73,-83,-85,4
-87,-76,-73,-81,-86,4
-81,-73,-72,-82,-85,4
-82,-79,-74,-82,-86,4
