aibo1,aibo2,aibo3,aibo4,aibo5,Sector
-62,-56,-34,-51,-61,17
-61,-58,-33,-53,-62,17
-55,-58,-38,-46,-55,17
-59,-61,-39,-51,-59,17
-61,-63,-39,-51,-61,17
-62,-57,-38,-53,-63,17
-62,-57,-48,-52,-58,18
-63,-63,-39,-56,-62,18
-63,-58,-39,-51,-61,18
-54,-54,-32,-51,-60,18
-55,-57,-30,-49,-58,18
-62,-52,-35,-55,-62,18
-54,-53,-35,-55,-65,18
-63,-58,-38,-55,-62,18
-60,-58,-44,-61,-60,18
-58,-61,-39,-55,-58,18
-62,-55,-34,-56,-61,18
-57,-58,-32,-59,-62,18
-61,-60,-32,-57,-64,18
-65,-58,-33,-57,-67,18
-65,-59,-37,-52,-58,18
-61,-57,-34,-50,-62,18
-59,-59,-40,-44,-62,18
-57,-52,-35,-65,-62,18
-60,-56,-35,-49,-59,18
-60,-54,-35,-53,-62,18
-56,-56,-34,-55,-66,18
-56,-64,-39,-55,-59,18
-75,-70,-44,-54,-57,18
-60,-66,-40,-50,-62,18
-60,-65,-34,-49,-56,18
-61,-64,-39,-52,-66,18
-61,-56,-38,-49,-58,18
-55,-54,-39,-50,-58,18
-67,-56,-33,-66,-68,19
-62,-52,-33,-52,-80,19
-58,-57,-36,-52,-67,19
-62,-57,-45,-54,-66,19
-65,-57,-34,-59,-72,19
-63,-57,-42,-63,-66,19
-63,-54,-36,-62,-72,19
-62,-58,-37,-57,-69,19
-64,-56,-37,-58,-66,19
-59,-54,-37,-59,-66,19
-58,-59,-39,-57,-67,19
-55,-53,-38,-55,-63,19
-59,-55,-40,-57,-62,19
-61,-52,-34,-62,-65,19
-57,-51,-30,-56,-65,19
-63,-46,-30,-47,-65,19
-63,-60,-32,-52,-63,19
-61,-52,-29,-52,-61,19
-53,-55,-34,-55,-69,19
-57,-55,-38,-58,-69,19
-62,-53,-42,-61,-68,19
-61,-54,-37,-52,-65,19
-61,-53,-38,-58,-67,19
-60,-56,-34,-57,-65,19
-65,-58,-31,-50,-64,19
-55,-63,-33,-51,-70,19
-67,-58,-33,-60,-70,19
-60,-57,-36,-57,-71,19
-60,-57,-38,-62,-69,20
-56,-52,-36,-65,-66,20
-61,-52,-37,-62,-65,20
-60,-54,-34,-55,-64,20
-65,-53,-36,-52,-64,20
-64,-61,-32,-52,-62,20
-65,-56,-34,-51,-62,20
-65,-55,-36,-52,-64,20
-65,-55,-38,-54,-66,20
-62,-57,-40,-56,-62,20
-55,-51,-38,-64,-71,20
-64,-47,-34,-54,-65,20
-54,-52,-41,-52,-65,20
-53,-57,-35,-56,-63,20
-67,-52,-33,-56,-64,20
-53,-48,-31,-48,-63,20
-56,-51,-32,-54,-64,20
-68,-54,-33,-54,-59,20
-63,-53,-34,-59,-60,20
-61,-58,-34,-53,-60,20
-63,-57,-34,-56,-57,20
-59,-50,-40,-59,-66,20
-59,-55,-47,-62,-65,20
-57,-54,-37,-58,-66,20
-55,-50,-34,-51,-65,20
-56,-50,-31,-55,-61,20
-56,-56,-35,-56,-64,20
-59,-57,-40,-58,-59,20
-62,-62,-43,-59,-64,20
-62,-59,-36,-55,-62,20
-63,-57,-37,-58,-59,20
