sexo,est.civil,sede,gpo.prof,class,zona,r.edad
1,2,0,15,0,4,5
1,2,0,15,0,1,1
1,2,0,15,0,4,2
0,2,0,15,0,4,4
0,2,0,15,0,4,5
1,2,0,15,0,4,3
1,2,0,15,0,4,2
1,2,0,15,0,3,2
0,2,0,15,0,4,1
1,2,0,15,0,4,1
1,2,0,15,0,4,1
1,2,0,15,0,8,1
1,2,0,15,0,4,1
1,2,0,15,0,4,1
0,2,1,15,0,3,1
1,2,0,4,0,5,3
1,2,0,4,0,1,2
1,2,0,4,0,5,2
0,2,0,4,0,4,5
1,2,0,4,0,4,3
0,2,0,7,0,4,3
0,2,0,7,0,2,3
0,0,0,15,0,4,3
0,2,0,2,4,4,1
0,2,0,7,4,7,1
0,2,0,9,4,4,2
0,2,1,9,4,5,2
0,2,0,9,4,4,0
1,2,0,12,4,1,2
1,2,0,15,4,3,1
1,2,0,4,4,7,2
0,2,0,5,2,4,2
0,2,0,5,2,4,2
0,2,0,5,2,4,4
0,2,0,5,2,4,2
0,2,0,5,2,4,1
1,2,0,5,2,5,1
1,2,0,5,2,4,2
0,2,1,5,2,4,1
1,2,0,5,2,8,5
0,2,0,5,2,5,5
0,2,1,5,2,4,1
0,2,0,5,2,1,2
0,2,0,2,2,2,1
0,2,0,2,2,4,1
0,2,0,2,2,4,2
0,2,0,2,2,2,2
0,2,0,2,2,1,1
0,2,0,2,2,3,1
0,2,0,2,2,4,0
0,2,0,2,2,8,1
1,2,0,2,2,4,1
0,2,0,2,2,4,1
0,0,0,2,2,4,5
0,2,0,2,2,8,5
0,2,0,2,2,4,5
0,2,0,2,2,8,1
0,2,0,2,2,4,2
1,2,0,2,2,4,1
0,2,0,2,2,4,1
0,2,0,2,2,4,2
0,2,0,2,2,4,1
0,2,0,0,2,4,1
0,2,0,6,2,4,2
1,2,0,0,2,3,1
0,2,1,0,2,4,0
1,2,0,0,2,4,2
0,0,0,2,2,8,2
0,2,0,1,2,3,2
0,2,0,16,2,4,2
0,2,0,4,2,7,1
0,2,0,4,2,4,1
0,2,0,4,2,2,1
0,2,1,4,2,4,1
0,2,0,4,2,7,1
1,2,0,4,2,2,3
1,2,0,4,2,4,1
0,2,0,4,2,4,1
1,2,0,4,2,5,1
1,0,0,4,2,3,2
0,2,4,4,2,1,1
0,2,0,4,2,1,1
0,2,0,4,2,4,2
0,2,0,4,2,4,2
0,2,0,4,2,4,1
0,2,0,4,2,7,1
0,2,0,4,2,4,2
1,2,0,2,2,4,1
0,2,0,2,2,3,1
0,2,0,21,2,4,3
1,2,0,7,2,4,2
0,2,0,2,2,4,2
0,2,0,7,2,4,2
0,2,0,7,2,4,2
0,2,0,7,2,8,2
0,2,0,7,2,4,3
0,2,0,7,2,7,2
1,2,0,7,2,4,1
1,2,0,7,2,3,1
0,2,0,7,2,4,2
1,0,0,7,2,4,5
0,2,0,7,2,2,1
0,2,0,7,2,2,1
1,2,0,7,2,5,1
1,2,0,7,2,5,1
0,2,0,7,2,4,2
0,2,0,7,2,4,3
1,0,0,7,2,4,2
0,2,0,7,2,4,1
0,2,0,7,2,2,3
0,2,0,7,2,4,1
1,2,0,14,2,4,1
1,2,0,2,2,4,3
0,2,0,9,2,4,1
1,2,0,9,2,4,1
0,2,0,9,2,4,1
0,2,0,9,2,4,1
0,1,0,9,2,4,2
0,1,0,9,2,4,2
1,2,4,9,2,8,1
1,2,0,9,2,8,1
0,2,0,9,2,4,1
0,2,0,9,2,8,3
0,2,0,9,2,5,3
0,2,0,9,2,1,1
1,2,0,9,2,4,1
1,2,0,9,2,4,2
1,2,0,9,2,4,2
0,2,1,9,2,5,1
0,2,1,9,2,8,1
0,2,0,9,2,4,1
0,2,0,9,2,4,1
0,2,1,9,2,4,1
1,2,0,9,2,4,1
0,2,0,9,2,4,1
1,2,0,9,2,8,5
0,2,0,9,2,7,1
0,2,0,9,2,4,1
1,2,0,9,2,4,1
1,2,0,9,2,4,1
0,2,0,9,2,4,1
0,2,0,9,2,4,1
1,2,0,9,2,4,1
0,2,0,9,2,4,1
0,2,0,9,2,8,1
0,2,0,9,2,4,2
0,2,0,9,2,8,2
0,2,0,9,2,4,1
0,2,0,9,2,4,1
0,2,1,9,2,4,2
1,2,0,9,2,3,1
0,2,1,9,2,4,1
0,2,1,9,2,2,0
1,2,0,9,2,4,1
1,2,0,9,2,4,1
0,2,0,9,2,4,1
0,2,0,9,2,7,1
0,2,0,9,2,3,2
0,2,0,9,2,4,2
0,2,1,9,2,8,2
1,2,0,9,2,7,2
0,2,0,9,2,4,1
0,2,0,9,2,8,1
0,2,0,9,2,7,2
0,2,0,9,2,4,2
0,2,0,9,2,3,1
0,2,1,9,2,2,1
0,2,0,9,2,8,2
1,2,0,9,2,4,1
0,2,0,9,2,2,1
0,2,0,9,2,4,3
0,2,0,9,2,4,5
0,2,0,9,2,8,2
0,2,2,9,2,5,2
0,2,0,9,2,8,1
0,2,0,9,2,3,2
1,2,0,9,2,7,0
1,2,0,9,2,4,1
0,2,0,9,2,4,1
0,2,3,9,2,7,2
0,2,0,9,2,4,2
0,2,0,9,2,4,0
0,2,0,9,2,8,2
0,2,0,9,2,8,2
0,2,0,9,2,2,0
1,2,0,9,2,3,1
0,2,0,9,2,4,3
1,2,0,9,2,4,1
0,2,0,9,2,4,2
0,2,0,9,2,7,1
0,2,0,9,2,4,1
1,2,0,9,2,3,1
1,2,1,9,2,5,2
0,2,0,9,2,3,2
0,2,1,9,2,2,1
0,2,1,9,2,1,2
1,2,1,9,2,4,2
1,2,3,9,2,7,3
1,2,2,9,2,2,0
0,2,0,9,2,4,0
1,2,1,9,2,4,3
1,2,1,9,2,4,1
0,2,1,9,2,8,1
0,0,0,9,2,4,2
1,2,0,9,2,3,0
0,2,1,9,2,1,0
0,2,1,9,2,4,1
0,2,2,9,2,8,0
0,2,0,9,2,2,0
1,2,3,9,2,7,0
1,2,3,9,2,7,0
1,2,0,9,2,3,0
0,2,2,9,2,5,3
0,2,0,9,2,7,2
0,2,0,9,2,4,0
0,2,2,9,2,5,0
0,2,0,9,2,4,0
0,2,1,9,2,4,0
1,2,0,9,2,4,1
0,2,3,9,2,7,1
0,2,0,9,2,7,1
0,2,0,9,2,7,1
1,2,1,9,2,8,3
0,2,0,9,2,4,1
