device_0,device_1,device_2,device_3,device_4,device_5,device_6,device_7,device_8,device_9,class
-40.0,-58.0,-46.0,-62.0,-60.0,-62.0,-68.0,-76.0,-70.0,-72.0,9
-82.0,-58.0,-46.0,-62.0,-58.0,-64.0,-68.0,-76.0,-72.0,-72.0,9
-36.0,-54.0,-44.0,-58.0,-50.0,-66.0,-66.0,-76.0,-76.0,-74.0,10
-36.0,-52.0,-44.0,-58.0,-52.0,-66.0,-66.0,-76.0,-76.0,-74.0,10
-36.0,-52.0,-44.0,-56.0,-52.0,-66.0,-64.0,-76.0,-74.0,-74.0,10
-38.0,-54.0,-44.0,-58.0,-50.0,-64.0,-66.0,-76.0,-74.0,-74.0,10
-36.0,-54.0,-44.0,-58.0,-54.0,-64.0,-66.0,-76.0,-74.0,-74.0,10
-36.0,-54.0,-44.0,-58.0,-52.0,-66.0,-64.0,-76.0,-76.0,-74.0,10
-36.0,-54.0,-44.0,-58.0,-52.0,-66.0,-66.0,-76.0,-76.0,-76.0,10
-38.0,-54.0,-44.0,-56.0,-52.0,-66.0,-66.0,-76.0,-74.0,-74.0,10
-36.0,-54.0,-44.0,-56.0,-52.0,-66.0,-64.0,-76.0,-76.0,-74.0,10
-38.0,-54.0,-44.0,-58.0,-54.0,-66.0,-64.0,-76.0,-74.0,-76.0,10
-36.0,-54.0,-44.0,-56.0,-52.0,-68.0,-62.0,-76.0,-76.0,-74.0,10
-38.0,-54.0,-44.0,-58.0,-52.0,-66.0,-66.0,-76.0,-76.0,-72.0,10
-38.0,-54.0,-44.0,-56.0,-52.0,-66.0,-66.0,-76.0,-76.0,-74.0,10
-36.0,-52.0,-44.0,-56.0,-54.0,-66.0,-66.0,-76.0,-76.0,-74.0,10
-38.0,-54.0,-44.0,-56.0,-52.0,-66.0,-64.0,-76.0,-78.0,-74.0,10
-38.0,-54.0,-44.0,-56.0,-52.0,-66.0,-64.0,-76.0,-76.0,-72.0,10
-36.0,-54.0,-44.0,-56.0,-52.0,-66.0,-66.0,-76.0,-74.0,-72.0,10
-36.0,-52.0,-44.0,-56.0,-52.0,-68.0,-64.0,-76.0,-76.0,-74.0,10
-38.0,-54.0,-44.0,-56.0,-52.0,-66.0,-66.0,-76.0,-76.0,-74.0,10
