aibo1,aibo2,aibo3,aibo4,aibo5,class
-54,-53,-36,-52,-65,21
-51,-55,-41,-54,-65,21
-62,-49,-32,-57,-61,21
-52,-52,-31,-47,-64,21
-60,-56,-31,-60,-65,21
-55,-46,-32,-56,-61,21
-58,-54,-32,-52,-61,21
-60,-52,-34,-56,-62,21
-52,-53,-34,-56,-61,21
-51,-52,-34,-54,-65,21
-59,-58,-34,-53,-65,21
-54,-55,-39,-56,-64,21
-50,-55,-34,-56,-62,21
-52,-56,-37,-56,-64,21
-63,-55,-46,-58,-56,22
-62,-58,-48,-66,-61,22
-60,-55,-49,-64,-63,22
-62,-47,-41,-54,-71,22
-67,-59,-35,-57,-54,22
-66,-55,-36,-54,-58,22
-64,-58,-34,-56,-56,22
-67,-57,-39,-49,-55,22
-67,-52,-45,-52,-55,22
-59,-60,-45,-60,-57,22
-60,-58,-42,-56,-64,22
-60,-60,-45,-56,-64,22
-64,-50,-49,-57,-57,22
-55,-57,-52,-60,-57,22
-65,-56,-47,-57,-59,22
-65,-56,-48,-53,-63,22
-40,-32,-56,-66,-71,23
-41,-34,-54,-62,-73,23
-51,-33,-51,-56,-62,23
-52,-42,-59,-65,-67,23
-50,-34,-54,-61,-63,23
-43,-39,-60,-67,-60,23
-51,-36,-60,-60,-61,23
-44,-37,-62,-72,-74,23
-48,-32,-52,-66,-65,23
-53,-32,-50,-56,-65,23
-47,-35,-62,-71,-75,23
-46,-34,-51,-55,-68,23
-50,-39,-54,-60,-68,23
-51,-33,-56,-58,-63,23
-47,-36,-47,-59,-70,24
-50,-36,-49,-64,-72,24
-49,-40,-58,-62,-70,24
-57,-33,-51,-62,-61,24
-54,-33,-46,-57,-67,24
-48,-36,-55,-61,-70,24
-38,-34,-53,-59,-75,24
-48,-30,-47,-59,-61,24
-52,-36,-49,-62,-61,24
-50,-33,-52,-66,-61,24
-49,-35,-57,-67,-75,24
-45,-34,-46,-57,-62,24
-47,-34,-49,-59,-68,24
-48,-37,-53,-65,-66,24
-53,-36,-56,-62,-66,24
-61,-50,-59,-61,-66,24
-35,-47,-59,-65,-73,25
-38,-40,-57,-64,-69,25
-39,-36,-51,-65,-70,25
-35,-34,-50,-62,-63,25
-50,-33,-47,-60,-66,25
-62,-33,-46,-58,-64,25
-56,-37,-51,-56,-64,25
-50,-34,-60,-68,-71,25
-37,-43,-57,-67,-71,25
-36,-36,-56,-70,-70,25
-37,-33,-47,-67,-71,25
-33,-34,-66,-65,-67,25
-44,-40,-56,-67,-69,25
-34,-38,-49,-73,-73,25
-38,-40,-50,-66,-71,25
-39,-33,-50,-62,-70,25
-45,-51,-55,-68,-69,26
-51,-49,-53,-67,-79,26
-45,-40,-59,-72,-65,26
-47,-38,-57,-67,-75,26
-52,-33,-51,-61,-65,26
-49,-37,-48,-61,-72,26
-44,-37,-54,-65,-66,26
-48,-33,-47,-59,-66,26
-47,-34,-50,-57,-66,26
-43,-44,-56,-70,-74,26
-50,-46,-48,-65,-71,26
-49,-34,-64,-67,-71,26
-48,-32,-57,-61,-72,26
-48,-45,-55,-70,-74,26
-47,-50,-54,-73,-68,26
-47,-36,-62,-68,-72,26
-51,-34,-56,-67,-71,26
-50,-34,-61,-65,-69,26
-41,-60,-60,-73,-74,27
-40,-56,-67,-65,-70,27
-46,-50,-60,-65,-68,27
-56,-49,-60,-69,-69,27
-38,-45,-51,-59,-71,27
-48,-43,-54,-65,-67,27
-57,-41,-53,-65,-70,27
-40,-55,-62,-67,-69,27
-46,-49,-64,-72,-82,27
-36,-58,-62,-76,-74,27
-40,-50,-55,-74,-74,27
-47,-53,-58,-70,-69,27
-41,-57,-67,-71,-76,27
-42,-51,-66,-70,-76,27
-39,-50,-60,-72,-72,27
-45,-52,-54,-66,-74,27
-47,-52,-58,-73,-69,27
