Date,AAPL.Open,AAPL.High,AAPL.Low,AAPL.Close,AAPL.Volume,AAPL.Adjusted,dn,mavg,up,direction
2018-07-01,116.529999,119.989998,116.529999,119.720001,54951600,116.11171399999999,112.7672569,122.97266670000002,133.17807659999997,Increasing
2018-06-30,117.809998,118.18,113.33000200000001,113.489998,97082800,110.069479,111.7495121,122.439,133.12848780000002,Decreasing
2018-06-29,112.529999,115.41999799999999,109.629997,115.239998,101217500,111.76673500000001,110.58379640000001,121.7846665,132.9855365,Increasing
2018-06-28,116.040001,116.400002,114.540001,115.150002,48535800,111.679451,110.01074950000002,121.1456666,132.2805836,Decreasing
2018-06-27,114.32,116.309998,114.010002,115.959999,42929500,112.46503600000001,109.7007656,120.4578334,131.2149012,Increasing
2018-06-26,116.040001,117.650002,115.5,117.160004,40884700,113.628873,110.21933670000001,119.70066680000001,129.18199679999998,Increasing
2018-06-25,116.43,117.440002,116.010002,116.5,34560700,112.98876100000001,111.05758200000001,118.96666670000002,126.8757514,Increasing
2018-06-24,116.099998,116.519997,114.68,115.010002,47445700,111.543671,110.8596081,118.5250001,126.19039199999999,Decreasing
2018-06-23,114.08000200000001,114.349998,111.629997,112.650002,68501600,109.2548,110.60169429999999,117.8803334,125.15897240000001,Decreasing
2018-06-22,110.43,111.900002,105.650002,105.760002,128275500,102.572461,109.20925449999999,117.0331668,124.85707909999999,Decreasing
2018-06-21,94.870003,108.800003,92.0,103.120003,162206300,100.012029,105.99110259999999,115.9568336,125.92256450000001,Increasing
2018-06-20,111.110001,111.110001,103.5,103.739998,103601600,100.613338,104.85122750000001,115.0986668,125.3461062,Decreasing
2018-06-19,107.089996,109.889999,105.050003,109.690002,96774600,106.38401299999998,104.35805479999999,114.36316699999999,124.36827920000002,Increasing
2018-06-18,112.230003,113.239998,110.019997,112.91999799999999,84616100,109.516659,104.48537540000001,113.8553335,123.22529159999999,Increasing
2018-06-17,112.16999799999999,113.309998,111.540001,113.290001,53164400,109.87551,104.73741690000001,113.41016670000002,122.08291650000001,Increasing
2018-06-16,112.029999,114.529999,112.0,112.760002,56229300,109.36148500000002,104.8807642,113.0895001,121.29823600000002,Increasing
2018-06-15,110.150002,111.879997,107.360001,107.720001,76845900,104.473386,104.4437543,112.77900009999999,121.114246,Decreasing
2018-06-14,110.230003,112.339996,109.129997,112.339996,61888800,108.95413799999999,104.2974032,112.59349990000001,120.8895966,Increasing
2018-06-13,112.489998,112.779999,110.040001,110.370003,53233900,107.04351899999999,104.15575109999999,112.3841666,120.6125821,Decreasing
2018-06-12,108.970001,110.449997,108.510002,109.269997,49996300,105.976666,103.8818508,112.0835,120.2851491,Increasing
2018-06-11,111.75,112.559998,110.32,112.309998,54843600,108.92504299999999,104.1221378,111.7326666,119.34319540000001,Increasing
2018-06-10,113.760002,114.019997,109.769997,110.150002,85010800,106.830148,104.0861412,111.54833319999999,119.0105251,Decreasing
