Hora,DiaSemana,busID,Orientacion,ProximaParada,Ruta
18,4,8019,1,MTA_502256,MTANYCT_Q27
13,4,5244,0,MTA_401345,MTANYCT_M72
20,4,4748,0,MTA_100029,MTANYCT_BX1
22,4,232,0,MTA_308255,MTANYCT_B37
20,4,4508,0,MTA_551118,MTABC_Q33
13,4,9697,1,MTA_303315,MTANYCT_B41
9,4,5280,0,MTA_403523,MTANYCT_M79
3,5,4829,0,MTA_301960,MTANYCT_B83
11,4,6621,0,MTA_306857,MTANYCT_B84
19,4,4323,1,MTA_401851,MTANYCT_X17J
20,4,5067,1,MTA_903079,MTANYCT_M21
3,5,6695,1,MTA_403466,MTANYCT_M3
23,4,6758,1,MTA_401958,MTANYCT_M96
16,4,3533,0,MTA_552357,MTABC_Q111
15,4,3775,1,MTA_552323,MTABC_Q113
19,4,1216,0,MTA_104329,MTANYCT_BX12+
23,4,3580,0,MTA_551093,MTABC_Q29
21,4,6463,1,MTA_501666,MTANYCT_Q27
5,4,8001,1,MTA_500305,MTANYCT_Q27
1,5,4217,0,MTA_502181,MTANYCT_Q20A
12,4,4614,0,MTA_303158,MTANYCT_B46
22,4,1207,1,MTA_100305,MTANYCT_BX12
19,4,4104,1,MTA_504238,MTANYCT_Q58
19,4,384,0,MTA_301170,MTANYCT_B11
13,4,6548,0,MTA_307689,MTANYCT_B52
18,4,3919,0,MTA_903089,MTANYCT_M104
20,4,3554,0,MTA_551813,MTABC_Q64
18,4,4379,1,MTA_103916,MTANYCT_BX10
20,4,4901,0,MTA_904912,MTANYCT_Q17
0,5,7007,1,MTA_200782,MTANYCT_S42
16,4,4449,1,MTA_203695,MTANYCT_S78
22,4,3580,1,MTA_551097,MTABC_Q29
10,4,9565,1,MTA_502102,MTANYCT_Q43
16,4,5343,1,MTA_307905,MTANYCT_B44+
17,4,4020,0,MTA_553284,MTABC_Q70
13,4,7576,1,MTA_300404,MTANYCT_B4
22,4,2836,1,MTA_905063,MTANYCT_X31
12,4,406,0,MTA_308230,MTANYCT_B35
20,4,7673,0,MTA_101221,MTANYCT_BX17
5,4,5912,1,MTA_103388,MTANYCT_Q44
20,4,9683,0,MTA_303232,MTANYCT_B41
15,4,4697,1,MTA_500010,MTANYCT_Q3
13,4,444,1,MTA_306846,MTANYCT_B8
16,4,3233,0,MTA_450023,MTABC_QM15
2,5,441,0,MTA_302721,MTANYCT_B8
1,5,8921,0,MTA_304531,MTANYCT_Q56
10,4,6832,0,MTA_303360,MTANYCT_B42
13,4,270,1,MTA_102318,MTANYCT_BX35
1,5,7684,1,MTA_103359,MTANYCT_BX21
12,4,5931,1,MTA_502137,MTANYCT_Q44
11,4,6316,1,MTA_801030,MTANYCT_B48
11,4,4464,1,MTA_505136,MTANYCT_Q27
15,4,9597,0,MTA_302465,MTANYCT_B26
18,4,5846,0,MTA_401824,MTANYCT_M34A+
18,4,6591,1,MTA_300502,MTANYCT_B82
21,4,5548,0,MTA_402757,MTANYCT_M103
23,4,6509,1,MTA_302430,MTANYCT_B26
11,4,3263,0,MTA_102047,MTABC_BXM10
13,4,4984,0,MTA_904197,MTANYCT_B15
12,4,7660,0,MTA_102396,MTANYCT_BX36
10,4,6016,1,MTA_101750,MTABC_Q50
18,4,3753,0,MTA_550124,MTABC_Q10
22,4,9630,0,MTA_502305,MTANYCT_Q46
23,4,7697,1,MTA_103914,MTANYCT_BX17
20,4,3588,0,MTA_550670,MTABC_Q100
10,4,3737,0,MTA_551928,MTABC_Q67
2,5,542,0,MTA_551859,MTABC_Q66
12,4,6121,0,MTA_101157,MTANYCT_BX16
11,4,4971,1,MTA_301038,MTANYCT_B15
18,4,552,0,MTA_550032,MTABC_Q25
11,4,6737,1,MTA_400856,MTANYCT_M104
18,4,9638,1,MTA_500289,MTANYCT_Q83
14,4,3623,1,MTA_552359,MTABC_Q111
21,4,6882,0,MTA_502555,MTANYCT_Q48
14,4,5068,1,MTA_403259,MTANYCT_M42
12,4,5050,1,MTA_901443,MTANYCT_B49
11,4,3421,1,MTA_450446,MTABC_BXM10
11,4,6683,1,MTA_403266,MTANYCT_M4
2,5,4337,1,MTA_101763,MTANYCT_BX26
11,4,2885,0,MTA_203496,MTANYCT_X15
19,4,443,1,MTA_300366,MTANYCT_B4
13,4,7025,1,MTA_203511,MTANYCT_S53
0,5,6500,1,MTA_801134,MTANYCT_B54
18,4,5316,1,MTA_101541,MTANYCT_BX22
1,5,282,1,MTA_103539,MTANYCT_BX31
22,4,5312,0,MTA_103588,MTANYCT_BX12+
15,4,5239,0,MTA_403993,MTANYCT_M66
23,4,5983,0,MTA_403671,MTANYCT_M60+
13,4,7803,0,MTA_101453,MTANYCT_BX36
13,4,6626,1,MTA_503517,MTANYCT_Q58
20,4,5062,0,MTA_403497,MTANYCT_M66
20,4,393,1,MTA_305451,MTANYCT_B63
3,5,5011,0,MTA_301156,MTANYCT_B15
11,4,8021,1,MTA_804052,MTANYCT_Q36
20,4,5683,0,MTA_100021,MTANYCT_BX2
11,4,4596,0,MTA_303250,MTANYCT_B41
12,4,9507,1,MTA_305027,MTANYCT_B60
14,4,5803,1,MTA_402660,MTANYCT_M100
1,5,474,1,MTA_303390,MTANYCT_B35
0,5,4713,1,MTA_100631,MTANYCT_BX9
13,4,4191,0,MTA_501040,MTANYCT_Q13
19,4,5049,0,MTA_303232,MTANYCT_B41
13,4,5639,0,MTA_401682,MTANYCT_M15
10,4,5007,1,MTA_301568,MTANYCT_B14
12,4,5324,1,MTA_303459,MTANYCT_B44+
10,4,2915,0,MTA_403353,MTANYCT_X10
16,4,4141,0,MTA_551211,MTABC_Q37
13,4,2766,0,MTA_404887,MTANYCT_X1
13,4,6830,1,MTA_305544,MTANYCT_B82
16,4,571,1,MTA_300619,MTABC_B103
12,4,6296,1,MTA_201360,MTANYCT_S57
14,4,440,1,MTA_301281,MTANYCT_B11
15,4,5068,0,MTA_401813,MTANYCT_M42
13,4,9530,1,MTA_500331,MTANYCT_Q83
3,5,8073,1,MTA_503702,MTANYCT_Q3
11,4,3096,1,MTA_404249,MTABC_BXM1
11,4,5751,1,MTA_104240,MTANYCT_BX22
1,5,4058,0,MTA_550003,MTABC_Q06
16,4,521,0,MTA_350243,MTABC_B103
14,4,9406,1,MTA_901004,MTANYCT_B6
3,5,213,1,MTA_551853,MTABC_Q66
20,4,4857,0,MTA_300540,MTANYCT_B6
5,4,629,1,MTA_503018,MTABC_Q53
17,4,397,1,MTA_301292,MTANYCT_B11
15,4,5950,0,MTA_101359,MTANYCT_BX19
1,5,9403,1,MTA_901004,MTANYCT_B6
16,4,5910,1,MTA_104004,MTANYCT_Q44
12,4,5907,0,MTA_103996,MTANYCT_Q44
11,4,316,0,MTA_103952,MTANYCT_BX35
15,4,4330,1,MTA_101530,MTANYCT_BX28
13,4,5007,0,MTA_307004,MTANYCT_B14
18,4,3919,1,MTA_403144,MTANYCT_M104
15,4,3968,1,MTA_306530,MTANYCT_B52
15,4,6409,0,MTA_400798,MTANYCT_M5
22,4,3273,0,MTA_450409,MTABC_BXM9
2,5,4541,0,MTA_307590,MTANYCT_B57
14,4,5787,0,MTA_103113,MTANYCT_BX41
11,4,4354,0,MTA_103934,MTANYCT_BX10
9,4,6308,0,MTA_202702,MTANYCT_S61
17,4,5793,0,MTA_102971,MTANYCT_BX2
12,4,2771,0,MTA_250054,MTANYCT_X5
5,4,8838,0,MTA_503195,MTANYCT_Q3
1,5,6078,0,MTA_501726,MTANYCT_Q28
11,4,3675,1,MTA_550749,MTABC_Q22
0,5,3085,0,MTA_984009,MTABC_BXM11
11,4,9443,1,MTA_303077,MTANYCT_B38
21,4,2069,1,MTA_201136,MTANYCT_X4
5,4,3976,0,MTA_303042,MTANYCT_B38
14,4,9112,0,MTA_301334,MTANYCT_B14
18,4,6803,1,MTA_303564,MTANYCT_B45
12,4,4917,1,MTA_804061,MTANYCT_Q17
16,4,4223,0,MTA_303256,MTANYCT_B41
10,4,4313,0,MTA_404132,MTANYCT_X1
15,4,5963,1,MTA_104242,MTANYCT_BX19
3,5,5335,1,MTA_303463,MTANYCT_B44+
19,4,219,1,MTA_552958,MTABC_Q53
11,4,3502,1,MTA_550035,MTABC_Q41
16,4,377,0,MTA_308591,MTANYCT_B70
1,5,5108,0,MTA_300002,MTANYCT_B1
11,4,6742,1,MTA_402100,MTANYCT_M22
12,4,6558,0,MTA_503283,MTANYCT_Q54
12,4,6721,1,MTA_400109,MTANYCT_M1
23,4,8007,1,MTA_502373,MTANYCT_Q46
12,4,4875,0,MTA_300428,MTANYCT_B6
4,4,7068,1,MTA_200716,MTANYCT_S53
0,5,5228,0,MTA_401224,MTANYCT_M20
12,4,5708,1,MTA_403418,MTANYCT_M103
23,4,6592,1,MTA_300613,MTANYCT_B82
18,4,6666,0,MTA_400352,MTANYCT_M1
12,4,3352,1,MTA_404168,MTABC_BXM3
0,5,4672,0,MTA_504467,MTANYCT_Q5
14,4,407,0,MTA_308074,MTANYCT_B16
19,4,3906,1,MTA_403486,MTANYCT_M42
1,5,429,1,MTA_300915,MTANYCT_B8
11,4,6271,0,MTA_200544,MTANYCT_S91
12,4,3545,1,MTA_552367,MTABC_Q113
19,4,4970,0,MTA_307259,MTANYCT_B25
0,5,2451,1,MTA_405049,MTANYCT_X28
16,4,4710,0,MTA_100027,MTANYCT_BX1
23,4,4577,1,MTA_303672,MTANYCT_B46
11,4,2831,0,MTA_203557,MTANYCT_X31
12,4,4586,1,MTA_307026,MTANYCT_B46
12,4,4830,0,MTA_307306,MTANYCT_B15
11,4,286,1,MTA_101459,MTANYCT_BX21
3,5,5292,0,MTA_403808,MTANYCT_M14D
9,4,323,0,MTA_101784,MTANYCT_BX27
16,4,4763,1,MTA_102675,MTANYCT_BX42
11,4,3747,1,MTA_552402,MTABC_Q112
19,4,4856,0,MTA_305487,MTANYCT_B64
12,4,5927,0,MTA_504980,MTANYCT_Q44
22,4,9519,1,MTA_503533,MTANYCT_Q59
16,4,9198,0,MTA_904075,MTANYCT_Q30
12,4,7759,0,MTA_101820,MTANYCT_BX27
19,4,5351,0,MTA_901278,MTANYCT_B44+
18,4,6682,1,MTA_401464,MTANYCT_M11
13,4,6458,1,MTA_500182,MTANYCT_Q83
17,4,4216,1,MTA_504993,MTANYCT_Q20A
19,4,5985,0,MTA_403673,MTANYCT_M60+
23,4,9388,1,MTA_305030,MTANYCT_B60
18,4,6365,1,MTA_400111,MTANYCT_M4
15,4,6575,1,MTA_308002,MTANYCT_B82
19,4,274,0,MTA_902043,MTANYCT_BX17
2,5,6512,1,MTA_307158,MTANYCT_B7
15,4,7743,0,MTA_101421,MTANYCT_BX21
13,4,631,0,MTA_551020,MTABC_Q25
21,4,4534,1,MTA_901325,MTANYCT_Q59
21,4,5274,1,MTA_402144,MTANYCT_M23
6,4,4700,0,MTA_500389,MTANYCT_Q4
20,4,5230,1,MTA_403510,MTANYCT_M66
20,4,5201,1,MTA_403149,MTANYCT_M104
14,4,6807,0,MTA_301326,MTANYCT_B12
20,4,4681,0,MTA_500184,MTANYCT_Q3
21,4,667,1,MTA_302750,MTANYCT_B35
11,4,7698,1,MTA_103122,MTANYCT_BX8
21,4,4938,1,MTA_901022,MTANYCT_B6
22,4,308,0,MTA_102976,MTANYCT_BX21
12,4,4403,1,MTA_403670,MTANYCT_BX13
13,4,2458,0,MTA_450402,MTANYCT_X27
20,4,2200,1,MTA_200584,MTANYCT_X12
16,4,5954,1,MTA_104242,MTANYCT_BX19
23,4,4095,1,MTA_103101,MTANYCT_BX16
19,4,3428,0,MTA_450409,MTABC_BXM7
1,5,9605,0,MTA_300536,MTANYCT_B6
22,4,185,1,MTA_501379,MTABC_Q25
16,4,3898,1,MTA_402348,MTANYCT_M31
19,4,8007,0,MTA_500023,MTANYCT_Q43
15,4,470,0,MTA_308187,MTANYCT_B43
18,4,443,0,MTA_300291,MTANYCT_B4
13,4,7010,1,MTA_200716,MTANYCT_S53
15,4,3086,0,MTA_100464,MTABC_BXM1
15,4,4860,1,MTA_901339,MTANYCT_B64
23,4,4473,1,MTA_500133,MTANYCT_Q2
11,4,5739,0,MTA_104313,MTANYCT_BX4
18,4,634,0,MTA_553138,MTABC_Q53
14,4,6516,0,MTA_504174,MTANYCT_B20
18,4,4970,0,MTA_302357,MTANYCT_B25
4,4,6014,0,MTA_500994,MTABC_Q50
12,4,4315,0,MTA_203110,MTANYCT_X17J
1,5,4378,1,MTA_103047,MTANYCT_BX3
16,4,3507,0,MTA_550814,MTABC_Q22
19,4,406,0,MTA_302699,MTANYCT_B35
23,4,3392,0,MTA_552504,MTABC_QM2
23,4,4779,0,MTA_101512,MTANYCT_BX22
7,4,6731,0,MTA_903089,MTANYCT_M104
22,4,7789,0,MTA_103066,MTANYCT_BX31
12,4,590,0,MTA_551744,MTABC_Q65
14,4,3941,0,MTA_403465,MTANYCT_M42
9,4,8043,0,MTA_502084,MTANYCT_Q43
11,4,7710,1,MTA_103907,MTANYCT_BX21
11,4,5934,0,MTA_103996,MTANYCT_Q44
14,4,6518,0,MTA_302464,MTANYCT_B26
17,4,353,1,MTA_302957,MTANYCT_B37
15,4,5055,1,MTA_303688,MTANYCT_B46
11,4,4379,0,MTA_100071,MTANYCT_BX10
14,4,9009,0,MTA_551550,MTABC_Q47
2,5,6080,1,MTA_501309,MTANYCT_Q16
1,5,389,1,MTA_306072,MTANYCT_B61
0,5,5265,0,MTA_401195,MTANYCT_M14D
10,4,4878,0,MTA_306144,MTANYCT_B3
21,4,461,1,MTA_305838,MTANYCT_B69
12,4,5882,1,MTA_402816,MTANYCT_M101
18,4,4385,0,MTA_100071,MTANYCT_BX7
23,4,6027,0,MTA_104067,MTABC_BX23
4,4,7082,1,MTA_203238,MTANYCT_S76
13,4,7624,1,MTA_102425,MTANYCT_BX36
20,4,9432,1,MTA_303857,MTANYCT_B48
11,4,8885,1,MTA_503953,MTANYCT_Q30
20,4,5274,0,MTA_404264,MTANYCT_M23
2,5,5735,0,MTA_102769,MTANYCT_BX39
21,4,5904,1,MTA_503964,MTANYCT_Q44
9,4,7658,0,MTA_902079,MTANYCT_BX6
23,4,4914,1,MTA_503172,MTANYCT_Q85
14,4,5039,0,MTA_300000,MTANYCT_B1
8,4,626,1,MTA_503018,MTABC_Q53
10,4,3829,1,MTA_401489,MTANYCT_M11
22,4,9063,1,MTA_308114,MTANYCT_B82
11,4,6341,1,MTA_201356,MTANYCT_S57
10,4,205,1,MTA_505066,MTABC_Q66
6,4,4104,1,MTA_504107,MTANYCT_Q58
22,4,4888,1,MTA_308044,MTANYCT_B6
12,4,2839,0,MTA_203652,MTANYCT_X17J
2,5,5575,1,MTA_100086,MTANYCT_BX1
0,5,6794,1,MTA_300497,MTANYCT_B82
23,4,4912,1,MTA_904005,MTANYCT_Q5
12,4,8062,0,MTA_904026,MTANYCT_Q4
10,4,5115,1,MTA_300591,MTANYCT_B6
1,5,3801,1,MTA_403144,MTANYCT_M104
12,4,3308,1,MTA_450451,MTABC_BXM9
